,regimen,sid,3rd,5th,6th
0,AP,1611,67.28395061728395,66.0493827160494,73.4567901234568
1,AP,1612,78.39506172839506,70.98765432098766,74.69135802469135
2,AP,1613,70.98765432098766,72.22222222222221,74.69135802469135
3,AP,1614,75.92592592592592,66.0493827160494,89.50617283950618
4,AP,1625,57.407407407407405,54.93827160493827,48.76543209876543
5,AP,1627,56.17283950617284,57.407407407407405,67.28395061728395
6,AP,1641,54.91803278688525,58.19672131147541,54.91803278688525
7,LA,1621,71.98581560283688,50.0,61.347517730496456
8,LA,1652,54.25531914893617,45.744680851063826,53.54609929078015
9,LA,1672,79.7872340425532,87.58865248226951,93.26241134751773
10,LA,1674,48.58156028368794,50.70921985815603,51.41843971631206
11,LA,1684,63.22314049586777,42.561983471074385,84.71074380165288
12,LA,1790,52.12765957446809,50.70921985815603,58.51063829787234
13,LA,1794,52.12765957446809,57.09219858156028,67.73049645390071
14,P,1618,59.756097560975604,59.756097560975604,64.63414634146342
15,P,1619,54.87804878048781,64.63414634146342,89.02439024390245
16,P,1620,62.19512195121951,42.68292682926829,57.3170731707317
17,P,1665,69.51219512195121,59.756097560975604,57.3170731707317
18,P,1666,50.0,50.0,69.51219512195121
19,P,1670,62.19512195121951,54.87804878048781,84.14634146341463
20,P,1671,64.63414634146342,62.19512195121951,71.95121951219512
21,SA,1615,48.76543209876543,54.93827160493827,74.69135802469135
22,SA,1616,66.0493827160494,50.0,56.17283950617284
23,SA,1617,54.93827160493827,59.876543209876544,74.69135802469135
24,SA,1622,57.407407407407405,69.75308641975309,85.80246913580247
25,SA,1653,57.407407407407405,52.46913580246913,72.22222222222221
26,SA,1658,77.1604938271605,69.75308641975309,88.27160493827161
27,SA,1804,61.111111111111114,57.407407407407405,59.876543209876544
