,regimen,sid,day,mean,SE,error,lower,upper,p_value,imp,p_imp
0,AP,1611,1.0,0.67,0.023,0.0,0.645,0.692,0.0,17.777,0.0
1,AP,1611,1.0612244897959184,0.675,0.023,0.0,0.652,0.697,0.0,17.777,0.0
2,AP,1611,1.1224489795918366,0.68,0.022,0.0,0.656,0.701,0.0,17.777,0.0
3,AP,1611,1.183673469387755,0.684,0.021,0.0,0.666,0.709,0.0,17.777,0.0
4,AP,1611,1.2448979591836735,0.689,0.021,0.0,0.672,0.714,0.0,17.777,0.0
5,AP,1611,1.306122448979592,0.694,0.021,0.0,0.675,0.716,0.0,17.777,0.0
6,AP,1611,1.3673469387755102,0.698,0.02,0.0,0.677,0.717,0.0,17.777,0.0
7,AP,1611,1.4285714285714286,0.703,0.02,0.0,0.682,0.721,0.0,17.777,0.0
8,AP,1611,1.489795918367347,0.707,0.019,0.0,0.687,0.726,0.0,17.777,0.0
9,AP,1611,1.5510204081632653,0.712,0.019,0.0,0.693,0.731,0.0,17.777,0.0
10,AP,1611,1.6122448979591837,0.716,0.019,0.0,0.7,0.737,0.0,17.777,0.0
11,AP,1611,1.6734693877551021,0.721,0.019,0.0,0.703,0.741,0.0,17.777,0.0
12,AP,1611,1.7346938775510203,0.725,0.018,0.0,0.707,0.744,0.0,17.777,0.0
13,AP,1611,1.7959183673469388,0.729,0.018,0.0,0.71,0.747,0.0,17.777,0.0
14,AP,1611,1.8571428571428572,0.733,0.018,0.0,0.716,0.753,0.0,17.777,0.0
15,AP,1611,1.9183673469387754,0.738,0.018,0.0,0.72,0.756,0.0,17.777,0.0
16,AP,1611,1.9795918367346939,0.742,0.018,0.0,0.725,0.761,0.0,17.777,0.0
17,AP,1611,2.0408163265306123,0.746,0.018,0.0,0.728,0.764,0.0,17.777,0.0
18,AP,1611,2.1020408163265305,0.75,0.018,0.0,0.731,0.767,0.0,17.777,0.0
19,AP,1611,2.163265306122449,0.754,0.018,0.0,0.736,0.773,0.0,17.777,0.0
20,AP,1611,2.2244897959183674,0.757,0.018,0.0,0.738,0.775,0.0,17.777,0.0
21,AP,1611,2.2857142857142856,0.761,0.018,0.0,0.743,0.779,0.0,17.777,0.0
22,AP,1611,2.3469387755102042,0.765,0.018,0.0,0.747,0.784,0.0,17.777,0.0
23,AP,1611,2.4081632653061225,0.769,0.019,0.0,0.75,0.787,0.0,17.777,0.0
24,AP,1611,2.4693877551020407,0.772,0.019,0.0,0.754,0.791,0.0,17.777,0.0
25,AP,1611,2.5306122448979593,0.776,0.019,0.0,0.757,0.794,0.0,17.777,0.0
26,AP,1611,2.5918367346938775,0.78,0.019,0.0,0.761,0.799,0.0,17.777,0.0
27,AP,1611,2.6530612244897958,0.783,0.019,0.0,0.763,0.802,0.0,17.777,0.0
28,AP,1611,2.7142857142857144,0.787,0.019,0.0,0.767,0.806,0.0,17.777,0.0
29,AP,1611,2.7755102040816326,0.79,0.02,0.0,0.771,0.809,0.0,17.777,0.0
30,AP,1611,2.836734693877551,0.793,0.02,0.0,0.774,0.813,0.0,17.777,0.0
31,AP,1611,2.8979591836734695,0.797,0.02,0.0,0.776,0.816,0.0,17.777,0.0
32,AP,1611,2.9591836734693877,0.8,0.02,0.0,0.779,0.819,0.0,17.777,0.0
33,AP,1611,3.020408163265306,0.803,0.02,0.0,0.782,0.822,0.0,17.777,0.0
34,AP,1611,3.0816326530612246,0.806,0.021,0.0,0.785,0.826,0.0,17.777,0.0
35,AP,1611,3.142857142857143,0.809,0.021,0.0,0.789,0.83,0.0,17.777,0.0
36,AP,1611,3.204081632653061,0.812,0.021,0.0,0.792,0.833,0.0,17.777,0.0
37,AP,1611,3.2653061224489797,0.815,0.021,0.0,0.795,0.837,0.0,17.777,0.0
38,AP,1611,3.326530612244898,0.818,0.021,0.0,0.798,0.84,0.0,17.777,0.0
39,AP,1611,3.387755102040816,0.821,0.022,0.0,0.8,0.843,0.0,17.777,0.0
40,AP,1611,3.4489795918367347,0.824,0.022,0.0,0.803,0.846,0.0,17.777,0.0
41,AP,1611,3.510204081632653,0.827,0.022,0.0,0.805,0.849,0.0,17.777,0.0
42,AP,1611,3.571428571428571,0.83,0.022,0.0,0.809,0.853,0.0,17.777,0.0
43,AP,1611,3.63265306122449,0.832,0.022,0.0,0.81,0.854,0.0,17.777,0.0
44,AP,1611,3.693877551020408,0.835,0.023,0.0,0.816,0.861,0.0,17.777,0.0
45,AP,1611,3.7551020408163263,0.838,0.023,0.0,0.819,0.864,0.0,17.777,0.0
46,AP,1611,3.816326530612245,0.84,0.023,0.0,0.821,0.866,0.0,17.777,0.0
47,AP,1611,3.877551020408163,0.843,0.023,0.0,0.823,0.869,0.0,17.777,0.0
48,AP,1611,3.9387755102040813,0.845,0.023,0.0,0.826,0.872,0.0,17.777,0.0
49,AP,1611,4.0,0.848,0.023,0.0,0.829,0.875,0.0,17.777,0.0
50,AP,1612,1.0,0.739,0.023,0.0,0.717,0.763,0.0,20.177,0.0
51,AP,1612,1.0612244897959184,0.746,0.022,0.0,0.726,0.77,0.0,20.177,0.0
52,AP,1612,1.1224489795918366,0.753,0.022,0.0,0.734,0.777,0.0,20.177,0.0
53,AP,1612,1.183673469387755,0.76,0.021,0.0,0.742,0.784,0.0,20.177,0.0
54,AP,1612,1.2448979591836735,0.767,0.02,0.0,0.749,0.789,0.0,20.177,0.0
55,AP,1612,1.306122448979592,0.773,0.02,0.0,0.755,0.795,0.0,20.177,0.0
56,AP,1612,1.3673469387755102,0.78,0.019,0.0,0.762,0.8,0.0,20.177,0.0
57,AP,1612,1.4285714285714286,0.786,0.019,0.0,0.768,0.806,0.0,20.177,0.0
58,AP,1612,1.489795918367347,0.792,0.019,0.0,0.776,0.813,0.0,20.177,0.0
